Name,Kategorie,Breitengrad,Laengengrad
Schule Aemtler B,Schule,47.3741105,8.5122282
Schule Waidhalde,Schule,47.3971493,8.5260507
Schule Stettbach,Schule,47.4011397,8.5809828
Schule Riedhof,Schule,47.4081984,8.486901
Schule Nordstern,Schule,47.4157357,8.5514791
Schule Ilgen,Schule,47.3694512,8.559976
"Fachschule Viventa, Schulhaus Wipkingen",Schule,47.3922947,8.5227684
Schule Probstei,Schule,47.4007786,8.5774704
Kantonsschule Freudenberg,Schule,47.3651522,8.5285101
Kantonsschule Enge,Schule,47.3648014,8.5273217
Liceo Artistico,Schule,47.3660041,8.530032
Schule Limmat,Schule,47.3832422,8.5342331
Schule Nordstrasse,Schule,47.3948929,8.526416
Musikschule Konservatorium Zürich (MKZ),Schule,47.3725982,8.5485256
Schule Im Herrlig,Schule,47.3899859,8.4823259
Kappeli Primar,Schule,47.386912,8.4923909
Schule Altstetterstrasse,Schule,47.3854956,8.4864761
Schule Feldblumen,Schule,47.3874862,8.4815556
Schule Rütihof,Schule,47.4121907,8.4791243
Schule Milchbuck,Schule,47.3961664,8.5371148
Schule Riedtli,Schule,47.3890126,8.5431916
Schule Weinberg-Turner,Schule,47.3878876,8.5425517
Kantonsschule Stadelhofen,Schule,47.3672481,8.5491352
Freie Katholische Schule Wiedikon,Schule,47.3723279,8.5142634
Schulhaus Leutschenbach,Schule,47.4134664,8.5625352
Jüdische Schule Knaben,Schule,47.3600698,8.5215083
Schulhaus Kolbenacker,Schule,47.4261727,8.5511729
SanArena Rettungsschule,Schule,47.3709534,8.5210844
Vertigo Schule und Ausbildung,Schule,47.3987661,8.4826498
Waldschule Adlisberg,Schule,47.3718943,8.5891153
Schul- und Sportanlage Apfelbaum,Schule,47.4068573,8.5552361
FGZ Freies Gymnasium Zürich,Schule,47.3594372,8.5549588
Sekundarschule + Musikschule Konservatorium Zürich (MKZ),Schule,47.4012015,8.5357415
