Strassenname,Strassentyp,Breitengrad,Laengengrad
Emil-Klöti-Strasse,tertiary,47.4086301,8.5040678
Gsteigstrasse,tertiary,47.4050831,8.504732
Badenerstrasse,residential,47.3733781,8.5314638
Bäckerstrasse,residential,47.3738908,8.530236
Bäckerstrasse,residential,47.3736971,8.5304667
Kinkelstrasse,residential,47.3885515,8.5451809
Neue Winterthurerstrasse,primary,47.4061261,8.5913931
Tellstrasse,residential,47.3783289,8.5284477
Selnaustrasse,tertiary,47.3707837,8.5316927
Fraumünsterstrasse,residential,47.3696693,8.5406191
Weinbergstrasse,tertiary,47.3772031,8.544268
Tièchestrasse,tertiary,47.3992531,8.5216478
Tunnelstrasse,primary,47.3663347,8.5319109
Püntstrasse,tertiary,47.3752235,8.485311
Hätzlergasse,residential,47.3908868,8.4663537
Sumatrastrasse,residential,47.3807567,8.5434359
Sumatrastrasse,residential,47.381828,8.5430853
Schauenbergstrasse,tertiary,47.4184678,8.5061854
Schauenbergstrasse,tertiary,47.4112557,8.505914
Schauenbergstrasse,tertiary,47.4115113,8.5060176
Kornhausstrasse,tertiary,47.3868694,8.5347506
Limmatplatz,tertiary,47.3846161,8.531746
General-Guisan-Quai,secondary,47.3635006,8.5351689
Mythenquai,primary,47.346977,8.5344037
Gessnerallee,tertiary,47.3771945,8.537131
Selnaustrasse,tertiary,47.3725105,8.5324669
Sihlhölzlistrasse,tertiary,47.3700713,8.5303263
Sihlhölzlibrücke,primary,47.3689725,8.5284185
Manessestrasse,primary,47.369151,8.5280794
Uraniastrasse,tertiary,47.3745751,8.5387499
Sihlporte,tertiary,47.3726451,8.534432
Seebahnstrasse,primary,47.3778714,8.5188173
Stauffacherstrasse,tertiary,47.3785278,8.5197925
Hardstrasse,secondary,47.3824666,8.5144461
Ohne Namen,primary,47.3822017,8.5160936
Zollbrücke,tertiary,47.3792118,8.5385044
Museumstrasse,tertiary,47.3787663,8.5396781
Museumstrasse,tertiary,47.3784893,8.5411256
Neumühlequai,tertiary,47.3770798,8.5433186
Seilergraben,tertiary,47.3766857,8.5443854
Central,tertiary,47.3765281,8.5434145
Hermetschloobrücke,secondary,47.3976672,8.4744341
