Strassenname,Strassentyp,Breitengrad,Laengengrad
Zollstrasse,residential,47.3800514,8.5355833
Lindenstrasse,residential,47.3580228,8.5531925
Lindenstrasse,residential,47.3572181,8.5501674
Klausstrasse,residential,47.3593214,8.5521649
Mittelstrasse,residential,47.3578175,8.5517733
Blumenweg,residential,47.3589402,8.5527089
Mainaustrasse,residential,47.3608208,8.5509237
Magnolienstrasse,residential,47.3603968,8.5512861
Wiesenstrasse,residential,47.361989,8.5509589
Eisengasse,residential,47.3629312,8.5520062
Eisengasse,residential,47.362439,8.550852
Hallenstrasse,residential,47.3632956,8.548621
Oetenbachgasse,residential,47.3741495,8.5411069
Schützengasse,residential,47.376218,8.540497
Kurzgasse,residential,47.3772641,8.527596
Anemonenstrasse,residential,47.3808222,8.49554
Schulhausstrasse,residential,47.3603012,8.5249232
Richard-Wagner-Strasse,residential,47.3599594,8.5326172
Salzweg,residential,47.3867942,8.4698115
Traubenstrasse,residential,47.3604279,8.5320481
Sternenstrasse,residential,47.3603112,8.534834
Europabrücke,tertiary,47.3888721,8.4912435
Ohne Namen,tertiary_link,47.3898551,8.4916832
Physikstrasse,residential,47.3784427,8.5522409
Röschibachsteig,residential,47.3938377,8.5265286
Waidstrasse,residential,47.3961565,8.522655
Waidstrasse,residential,47.3974944,8.5226429
Hauswiesenstrasse,residential,47.4138897,8.4756276
Hurdäckerstrasse,residential,47.4135961,8.4772308
Naglerwiesenstrasse,residential,47.4126788,8.4819787
Tièchestrasse,tertiary,47.3980004,8.5283755
Trottenstrasse,residential,47.3956715,8.5191253
Trottenstrasse,residential,47.3949487,8.5228699
Röschibachweg,residential,47.3939038,8.5261227
Rosengartenbrücke,tertiary,47.3941524,8.5264167
Wasserwerkstrasse,tertiary,47.3844434,8.537922
Wasserwerkstrasse,tertiary,47.383366,8.5396808
Gasometerstrasse,residential,47.3859817,8.5312303
Kasernenstrasse,residential,47.3767196,8.5349968
Albertstrasse,residential,47.3862728,8.5260943
Gessnerallee,residential,47.3768428,8.5369859
Schützengasse,residential,47.3769539,8.537684
Güetliweg,residential,47.4129477,8.5306597
Pelikanstrasse,residential,47.3719974,8.5371563
Rautistrasse,tertiary,47.3821696,8.4884718
Mühlezelgstrasse,residential,47.3764453,8.4946167
Sackzelg,residential,47.3745557,8.4977713
Fellenbergstrasse,residential,47.3740012,8.5000107
Albisriederstrasse,secondary,47.3774957,8.5032898
Albisriederstrasse,secondary,47.3779224,8.508386
Kalkbreitestrasse,tertiary,47.3730501,8.5185738
Kalkbreitestrasse,tertiary,47.3727011,8.5178474
Birmensdorferstrasse,secondary,47.370235,8.5212671
Aegertenstrasse,residential,47.369376,8.5225348
Saatlenstrasse,residential,47.4062817,8.568038
Zollikerstrasse,tertiary,47.3645232,8.5544433
Obsthaldenstrasse,residential,47.4134214,8.5194298
Gablerstrasse,residential,47.3588017,8.5281293
Bruchstrasse,residential,47.336565,8.5205884
Luggwegstrasse,tertiary,47.3894141,8.4913768
Lerchenstrasse,residential,47.3594524,8.521561
Rüdigerstrasse,residential,47.3607399,8.5218041
Staffelstrasse,residential,47.360857,8.5210268
Unterwerkstrasse,residential,47.4228464,8.5548892
Unterwerkstrasse,residential,47.4230319,8.5525425
Leutschenbachstrasse,residential,47.4163306,8.5564983
Köschenrütistrasse,residential,47.4260754,8.5364408
Schaffhauserstrasse,primary,47.4222613,8.550634
Glatttalstrasse,tertiary,47.4284625,8.5453794
Ausserdorfstrasse,residential,47.4250818,8.5472838
Kolbenacker,residential,47.4255313,8.5470084
Hertensteinstrasse,residential,47.4245781,8.5433265
Hertensteinstrasse,residential,47.4249657,8.5435668
Bärenbohlstrasse,tertiary,47.42611,8.509806
Fronwaldstrasse,residential,47.417752,8.5162198
Aubruggweg,residential,47.4124317,8.5680642
Opfikonstrasse,residential,47.4132642,8.5724562
Sihlhallenstrasse,residential,47.3800995,8.5262412
Dienerstrasse,residential,47.3788056,8.5263875
Brauerstrasse,residential,47.3783924,8.5259268
Hohlstrasse,residential,47.3768803,8.5281543
Müllerstrasse,residential,47.3755781,8.5292572
Hohlstrasse,residential,47.3775055,8.5260705
Dienerstrasse,residential,47.3780557,8.5278413
Tellstrasse,residential,47.3791233,8.529309
Zwinglistrasse,residential,47.3787498,8.5279663
Hohlstrasse,residential,47.3773564,8.5264274
Hellmutstrasse,residential,47.3786859,8.524446
Magnusstrasse,residential,47.3805518,8.5256721
Zinistrasse,residential,47.3792673,8.5259074
Zinistrasse,residential,47.3795372,8.5262301
Gamperstrasse,residential,47.3805189,8.5245826
Herman-Greulich-Strasse,residential,47.3779097,8.5197458
Pflanzschulstrasse,residential,47.3785422,8.5218632
St. Jakobstrasse,residential,47.375337,8.530248
Nietengasse,residential,47.3791113,8.525188
Brauerstrasse,residential,47.3788301,8.5250855
Glaubtenstrasse,tertiary,47.410547,8.5052428
Weststrasse Wallisellen,secondary,47.4089118,8.5798165
Weststrasse Wallisellen,secondary,47.4093912,8.5801982
Geroldstrasse,tertiary,47.3860306,8.5184546
Zurlindenstrasse,residential,47.369314,8.5209144
Gessnerallee,tertiary,47.3763764,8.5363243
Gessnerallee,tertiary,47.3733328,8.5330983
Allmendstrasse,primary,47.3538772,8.523965
Brunaubrücke,primary,47.3530698,8.5244253
Allmendstrasse,primary,47.3527813,8.5246738
Lessingstrasse,residential,47.3537063,8.5251028
Döltschiweg,residential,47.3673987,8.5082642
Marbachweg,residential,47.3298751,8.5164485
Hüslibachstrasse,residential,47.3289415,8.5149067
Florhofgasse,residential,47.3721518,8.5489817
Batteriesteig,residential,47.3876739,8.5536575
Europabrücke,tertiary,47.3919074,8.4925058
Bläsistrasse,residential,47.4022491,8.5023215
Gsteigstrasse,residential,47.4056204,8.5037784
Bahnhofquai,tertiary,47.3770284,8.5415605
Bahnhofquai,tertiary,47.3763769,8.5417275
Bahnhofquai,tertiary,47.3758353,8.5419586
Bahnhofquai,tertiary,47.3770019,8.5417856
Bahnhofquai,tertiary,47.3775406,8.5418662
Asylstrasse,secondary,47.3689436,8.5578698
General-Guisan-Quai,secondary,47.3661802,8.540488
Quaibrücke,secondary,47.3669373,8.543139
Quaibrücke,secondary,47.3668311,8.5431795
Utoquai,primary,47.3655828,8.5454314
Utoquai,secondary_link,47.3662552,8.545101
Waldmannstrasse,residential,47.3686073,8.5464847
Zeugwartgasse,residential,47.3708538,8.5399471
Neumühlequai,tertiary,47.3781354,8.5428208
Bahnhofquai,tertiary,47.3770981,8.5417716
Bahnhofquai,tertiary,47.3784607,8.5415319
Rousseaustrasse,tertiary,47.3867365,8.5351361
Rousseaustrasse,residential,47.3877319,8.5343581
Rousseaustrasse,tertiary,47.3863562,8.5352226
Wasserwerkstrasse,tertiary,47.385657,8.5359788
Nordstrasse,tertiary,47.3942672,8.5270435
Rosengartenstrasse,primary,47.394661,8.5255791
Regensdorferstrasse,tertiary,47.4123463,8.4838613
Frankentalerstrasse,secondary,47.4136131,8.4810347
Geeringstrasse,residential,47.4150265,8.4781023
Rütihofstrasse,residential,47.413423,8.4765682
Frankentalerstrasse,secondary,47.4054107,8.4808003
Hohlstrasse,tertiary,47.3903295,8.4906
Hohlstrasse,tertiary,47.391177,8.4879103
Binzmühlestrasse,secondary,47.4139519,8.5435375
Jungholzstrasse,residential,47.4126916,8.5442485
Weihersteig,residential,47.3978553,8.528339
Bucheggstrasse,primary,47.3981779,8.5365009
Bucheggstrasse,primary,47.3981366,8.5354072
Limmatplatz,residential,47.3843749,8.5320547
Josefstrasse,residential,47.3876959,8.5210887
Limmatstrasse,tertiary,47.3852384,8.5307967
Birmensdorferstrasse,residential,47.3726714,8.5271766
Kalkbreitestrasse,tertiary,47.3742382,8.5211192
Elisabethenstrasse,residential,47.3735426,8.5218541
Zweierstrasse,tertiary,47.3720816,8.5225678
Sihlfeldstrasse,residential,47.3772118,8.5163719
Bellerivestrasse,primary,47.3498581,8.5611075
Bellerivestrasse,primary,47.3514951,8.5591871
Im Kratz,residential,47.3741287,8.4830894
Rotbuchstrasse,tertiary,47.392611,8.5325377
Weinbergstrasse,tertiary,47.3905755,8.5396554
Weinbergstrasse,tertiary,47.390519,8.5396385
Universitätstrasse,primary,47.3830503,8.5481661
Toblerstrasse,residential,47.376719,8.5629033
Kraftstrasse,tertiary,47.3769141,8.5598492
Gloriastrasse,tertiary,47.3758538,8.5589776
Zollikerstrasse,secondary,47.3598503,8.5575232
Zollikerstrasse,tertiary,47.3587313,8.5584665
Hammerstrasse,residential,47.3599948,8.5644878
Drahtzugstrasse,residential,47.3603328,8.5614592
Wildbachstrasse,residential,47.3556166,8.5579568
Hornbachstrasse,residential,47.3564102,8.5566564
Birmensdorferstrasse,secondary,47.3706283,8.5166323
Bederstrasse,secondary,47.3634337,8.5279416
Bederstrasse,secondary,47.3602484,8.523641
Uetlibergstrasse,secondary,47.3577939,8.5149062
Uetlibergstrasse,residential,47.3532573,8.5113646
Wasserwerkstrasse,tertiary,47.3830067,8.5403431
Stöckenackerstrasse,residential,47.4226234,8.5104799
Binzmühlestrasse,tertiary,47.4147567,8.5192446
Binzmühlestrasse,tertiary,47.4137121,8.523169
Wehntalerstrasse,primary,47.4031179,8.5348686
Künzlistrasse,residential,47.4051503,8.5345852
Heinrichstrasse,residential,47.389438,8.521481
Viaduktstrasse,residential,47.3864618,8.5224665
Gsteigstrasse,tertiary,47.4029109,8.5003255
Gsteigstrasse,tertiary,47.4025502,8.4995237
Triemlihalde,residential,47.3650228,8.4938467
Uetlibergstrasse,residential,47.3530751,8.5107931
Schweighofstrasse,secondary,47.3635947,8.5036055
Gutstrasse,secondary,47.3734171,8.5037264
Gutstrasse,secondary,47.3750623,8.5015427
Albisriederstrasse,secondary,47.3774284,8.499574
Albisriederstrasse,secondary,47.3784292,8.4938661
Rautistrasse,tertiary,47.3809989,8.4920519
Baslerstrasse,residential,47.3864211,8.4966169
Bleicherweg,residential,47.3671542,8.5338303
Ohne Namen,residential,47.3713432,8.5299781
Albisstrasse,secondary,47.338691,8.5300818
Binzmühlestrasse,secondary,47.4138024,8.5463838
Albisriederstrasse,secondary,47.3778542,8.4979643
Triemlistrasse,tertiary,47.3691441,8.4919477
Schaffhauserstrasse,primary,47.3997548,8.5427518
Hardturmstrasse,primary,47.3913035,8.5203505
Sihlquai-Südrampe,tertiary,47.3904431,8.5249344
Sihlquai-Nordrampe,tertiary,47.3909625,8.5238404
Konradstrasse,residential,47.3817463,8.5340101
Manessestrasse,primary,47.3673783,8.5232553
Schaffhauserstrasse,residential,47.4108059,8.5465878
Gotthardstrasse,residential,47.364722,8.5323617
Winterthurerstrasse,primary,47.3970545,8.5458991
Winterthurerstrasse,primary,47.3977584,8.5464283
Winterthurerstrasse,primary,47.398327,8.5470722
Winterthurerstrasse,primary,47.397721,8.5465443
Nidelbadstrasse,residential,47.3340364,8.5340306
Seestrasse,secondary,47.3441976,8.5343972
Kalchbühlstrasse,residential,47.3364429,8.5333988
Widmerstrasse,residential,47.3378056,8.5354319
Albisstrasse,secondary,47.3344513,8.529977
Azurstrasse,residential,47.4083806,8.5400169
Glaubtenstrasse,tertiary,47.4111598,8.5067721
Genferstrasse,residential,47.3663184,8.5333096
Tödistrasse,residential,47.3687386,8.5328238
Beethovenstrasse,residential,47.3665048,8.5365309
Beethovenstrasse,residential,47.3654582,8.5373189
Bauhallengasse,residential,47.3752732,8.5243078
Schaffhauserstrasse,primary,47.4053843,8.5483551
Tramstrasse,residential,47.4086009,8.5506844
Schaffhauserstrasse,primary,47.409041,8.5464037
Wallisellenstrasse,residential,47.4104854,8.5493927
Wallisellenstrasse,residential,47.4103907,8.5485017
Albisriederstrasse,secondary,47.3748396,8.4835963
Talchernsteig,residential,47.4030496,8.4880494
Talchernstrasse,residential,47.40297,8.4889243
Binzmühlestrasse,tertiary,47.4129535,8.5373259
Binzmühlestrasse,secondary,47.4140118,8.5411479
Birchstrasse,residential,47.4170134,8.5382834
Neunbrunnenstrasse,residential,47.4169467,8.5382087
Seebacherstrasse,tertiary,47.4219729,8.5388179
Käshaldenstrasse,tertiary,47.4300427,8.5374861
Schaffhauserstrasse,primary,47.4194485,8.5479943
Kasernenstrasse,tertiary,47.3749276,8.5328426
Höschgasse,secondary,47.3580996,8.5556597
Grütlistrasse,residential,47.3613025,8.5311867
Bluntschlisteig,residential,47.3623649,8.530773
Felsenkellerweg,residential,47.3628248,8.5290136
Wehntalerstrasse,primary,47.4020053,8.5359501
Enzenbühlstrasse,residential,47.3490134,8.5727398
Südstrasse,residential,47.3508115,8.5672853
Zollikerstrasse,residential,47.3516813,8.5632286
Hambergersteig,residential,47.3510565,8.5617632
Breitingerstrasse,residential,47.3625311,8.5343716
Breitingerstrasse,residential,47.362306,8.5326246
Tunnelstrasse,secondary,47.3665199,8.5318713
General-Wille-Strasse,tertiary,47.3633743,8.5335157
Katzenbachstrasse,residential,47.4247984,8.5414284
Emil-Klöti-Strasse,tertiary,47.403873,8.5062774
Europabrücke,secondary,47.3997011,8.4953626
Am Wasser,tertiary,47.3996516,8.4960719
Limmatplatz,tertiary,47.3849418,8.531293
Limmatplatz,tertiary,47.3847832,8.5314901
Limmatplatz,residential,47.3843231,8.5319219
Langstrasse,residential,47.3790601,8.5273564
Badenerstrasse,tertiary,47.3744383,8.5218781
Goldbrunnenstrasse,residential,47.3688112,8.514889
Saumstrasse,residential,47.371792,8.5123347
Bucheggplatz,tertiary,47.3987772,8.5329966
Wehntalerstrasse,primary,47.4116499,8.5252891
Wehntalerstrasse,primary,47.4189662,8.5069435
Schaffhauserstrasse,primary,47.4081721,8.5467316
Winterthurerstrasse,primary,47.4051281,8.5777531
Im Holzerhurd,residential,47.4238847,8.4945755
Im Holzerhurd,residential,47.422836,8.4945888
Hungerbergstrasse,residential,47.419801,8.5003138
Sihlporte,tertiary,47.3724457,8.5343289
Martastrasse,residential,47.3768575,8.5157601
Hildastrasse,residential,47.376443,8.5160238
Wallisellenstrasse,tertiary,47.4106058,8.5507967
Thurgauerstrasse,secondary,47.409434,8.5499235
Binzmühlestrasse,tertiary,47.4141434,8.5501586
Hirzelstrasse,residential,47.380881,8.5146165
Ernastrasse,residential,47.3808957,8.5163622
Erismannstrasse,residential,47.3793436,8.5186652
Erismannstrasse,residential,47.3785973,8.5179654
Erismannstrasse,residential,47.3775829,8.5171556
Kanzleistrasse,residential,47.3778975,8.518114
Kanzleistrasse,residential,47.3784296,8.5168364
Ernastrasse,residential,47.3800594,8.5181093
Anny-Klawa-Platz,residential,47.3769818,8.5165843
Karl-Bürkli-Strasse,residential,47.3768228,8.5175432
Witikonerstrasse,secondary,47.3633414,8.5674223
Hofackerstrasse,secondary,47.3614321,8.5633781
Witikonerstrasse,secondary,47.3598941,8.5946472
Trichtenhausenstrasse,tertiary,47.3544216,8.6012379
Zypressenstrasse,residential,47.3781572,8.5139999
Kochstrasse,residential,47.3780509,8.5155036
Hardaustrasse,residential,47.3777748,8.5097935
Friedaustrasse,residential,47.3773553,8.5111389
Vorderberg,tertiary,47.376444,8.5593822
Idastrasse,residential,47.3726266,8.5157386
Gertrudstrasse,residential,47.3735808,8.5154477
Riedenholzstrasse,residential,47.4262174,8.5364275
Zehntenhausstrasse,tertiary,47.4239068,8.5083313
Marienstrasse,residential,47.3744187,8.5180488
Zentralstrasse,residential,47.3733473,8.5174802
Fuchsiastrasse,residential,47.3833446,8.4970184
Fuchsiastrasse,residential,47.3826244,8.4984308
Enzianweg,residential,47.3831196,8.4985773
Cyklamenweg,residential,47.3825508,8.5002971
Eglistrasse,residential,47.3834899,8.511078
Freischützgasse,residential,47.3772225,8.5328182
Tellstrasse,residential,47.3793629,8.5295716
Traktorenstrasse,residential,47.4295015,8.537641
Köschenrütistrasse,residential,47.4294877,8.5368175
Schaffhauserstrasse,primary,47.4167587,8.5453092
Neunbrunnenstrasse,residential,47.4172284,8.5451706
Weisshau,residential,47.4176647,8.5416781
Kolbenacker,residential,47.4264572,8.5485127
Gerhardstrasse,residential,47.3708462,8.5235556
Zurlindenstrasse,tertiary,47.3697861,8.5202342
Limmatquai,residential,47.3688517,8.5437341
Wasserschöpfi,residential,47.3682961,8.5063974
Wasserschöpfi,residential,47.3659925,8.5078746
Stauffacherstrasse,tertiary,47.3770122,8.5240271
Langstrasse,residential,47.3769041,8.5260355
Hildastrasse,residential,47.3768458,8.5150227
Eichbühlstrasse,residential,47.3818392,8.513101
Hardstrasse,secondary,47.3813688,8.5133975
Dennlerstrasse,residential,47.3816359,8.4981893
Rautistrasse,tertiary,47.3800405,8.4941613
Albisriederstrasse,secondary,47.3785955,8.496576
Gmeimeriweg,residential,47.3803755,8.4949676
Keltenstrasse,secondary,47.376277,8.5619776
Schneckenmannstrasse,residential,47.3752559,8.5593489
Witikonerstrasse,secondary,47.3625033,8.5683426
Wipkingerbrücke,tertiary,47.3921899,8.5236237
Hönggerstrasse,tertiary,47.3913101,8.5262753
Tischlerweg,residential,47.3915464,8.471731
Winterthurerstrasse,primary,47.4069715,8.5855028
Ueberlandstrasse,primary,47.4066308,8.5877402
Ueberlandstrasse,secondary,47.4058873,8.5908611
Friesenbergstrasse,residential,47.3586576,8.4973339
Marsstrasse,residential,47.3613117,8.5347162
Zollikerstrasse,tertiary,47.3625148,8.5555709
Kreuzplatz,residential,47.3651182,8.5540027
Waldhausstrasse,residential,47.374975,8.5681797
Waldhausstrasse,residential,47.3756666,8.5680237
Ebelstrasse,residential,47.3738415,8.5665572
Bristenstrasse,residential,47.3890313,8.4879148
Altweg,residential,47.3713965,8.4920969
Mattackerstrasse,residential,47.424575,8.5514185
Buchwiesen,residential,47.4267445,8.5425523
Birchstrasse,residential,47.4259977,8.5430041
Käshaldenstrasse,tertiary,47.4328891,8.5265651
Europabrücke,tertiary,47.390085,8.4917149
Rautistrasse,tertiary,47.3870367,8.4727606
Albisriederstrasse,secondary,47.3757179,8.4876585
Gutstrasse,secondary,47.3740172,8.5026497
Gutstrasse,secondary,47.3743109,8.5024586
Bellerivestrasse,primary,47.3502139,8.5607046
Gladbachstrasse,tertiary,47.3822772,8.5517999
Bederstrasse,secondary,47.3615804,8.5259294
Mutschellenstrasse,tertiary,47.3526549,8.5271731
Uetlibergstrasse,residential,47.3526178,8.5086386
Rütihofstrasse,residential,47.4136221,8.4775145
Limmattalstrasse,secondary,47.4051891,8.4812715
Glatttalstrasse,tertiary,47.4279047,8.5457437
Glatttalstrasse,tertiary,47.4305392,8.5442451
Schaffhauserstrasse,primary,47.4218909,8.550341
Schaffhauserstrasse,primary,47.4219901,8.5504194
Glaubtenstrasse,tertiary,47.4140702,8.5188437
Schönauweg,residential,47.4273267,8.5395008
Grünhaldenstrasse,residential,47.4166965,8.5467257
Schaffhauserstrasse,primary,47.4173462,8.5456605
Schaffhauserstrasse,primary,47.4171738,8.5457987
Friesstrasse,primary,47.4171417,8.5456513
Brunaustrasse,tertiary,47.3546052,8.5264401
Sempacherstrasse,residential,47.3614679,8.5680206
Hardbrücke,primary,47.382947,8.51397
Eggbühlstrasse,residential,47.4170376,8.5419208
Klingenstrasse,residential,47.3817546,8.5334069
Ohne Namen,residential,47.3810192,8.5322476
Zollstrasse,residential,47.3818341,8.5294699
Grünhaldenstrasse,residential,47.4184924,8.5478477
Erlachstrasse,residential,47.3677783,8.52105
Zweierstrasse,tertiary,47.3726226,8.524827
Birchstrasse,residential,47.4274258,8.5459653
Birchstrasse,residential,47.4272778,8.5458609
Glatttalstrasse,secondary,47.4272438,8.5462627
Talstrasse,tertiary,47.3669435,8.5399129
Dörflistrasse,primary,47.4087341,8.5504321
Wehrenbachhalde,residential,47.3558066,8.5803763
Buchholzstrasse,residential,47.3606222,8.5905244
Loorenhalde,residential,47.3638783,8.5912883
Schöneichstrasse,residential,47.4042167,8.5575356
Ueberlandstrasse,primary_link,47.4070325,8.5866698
Winterthurerstrasse,primary,47.4028593,8.5542055
Ueberlandstrasse,tertiary,47.4100445,8.5745488
Grubenackerstrasse,residential,47.415969,8.5510428
Zum Sillerblick,residential,47.358905,8.5828928
Im Trichtisal,residential,47.3545742,8.6019131
Möcklistrasse,residential,47.357615,8.5957747
Im Brächli,residential,47.3600208,8.5809416
Loorenrank,residential,47.3586938,8.5956208
Hegibachstrasse,residential,47.3646277,8.5664344
Hegibachstrasse,residential,47.3647637,8.5664407
Dreiwiesenstrasse,tertiary,47.3760901,8.584205
Sternenstrasse,residential,47.3601977,8.5337451
Schärenmoosstrasse,residential,47.420847,8.5508596
Rämistrasse,primary,47.3753015,8.5493103
Rämistrasse,primary,47.3767993,8.5485357
Hirschgartnerweg,residential,47.4011376,8.546339
In der Müseren,residential,47.3625598,8.615785
Hinterbergstrasse,residential,47.3797232,8.5557676
Haselweg,residential,47.3733239,8.5566209
Herzogstrasse,residential,47.3796457,8.5572134
Im Klösterli,residential,47.3849469,8.5766523
Orellistrasse,residential,47.3832212,8.5625964
Rislingstrasse,residential,47.3789125,8.5581484
Klosbachstrasse,residential,47.3704298,8.5646112
Cäcilienstrasse,residential,47.3704927,8.5529126
Wilfriedstrasse,residential,47.3694353,8.5547216
Doldertal,residential,47.372964,8.56451
Kasinostrasse,residential,47.3685134,8.5550211
Sprecherstrasse,residential,47.3672892,8.5521963
Sprensenbühlstrasse,residential,47.3685615,8.5634939
Wartstrasse,residential,47.3652797,8.5627684
Belsitostrasse,residential,47.3748301,8.561977
Spyristrasse,residential,47.382031,8.5511727
Spyristrasse,residential,47.3829942,8.5528711
Weineggstrasse,residential,47.3600916,8.5617201
Wotanstrasse,residential,47.3640936,8.5633472
Rübenweg,residential,47.3620785,8.5737868
Billrothstrasse,residential,47.3625229,8.5582719
Schleifergasse,residential,47.3627618,8.5615332
Buchenweg,residential,47.3573301,8.5690839
Kellerweg,residential,47.3658284,8.4935468
Agleistrasse,residential,47.4134509,8.5173475
Ohne Namen,primary_link,47.4020341,8.5523386
Ohne Namen,primary_link,47.4021567,8.5526153
Schienengasse,residential,47.3805478,8.5264933
Basteigasse,residential,47.3694769,8.5357273
Bändliweg,residential,47.3946154,8.4842609
Bändliweg,residential,47.3952845,8.4847649
Manessestrasse,primary,47.3692388,8.5276948
Langstrasse,tertiary,47.3827971,8.529996
Langstrasse,tertiary,47.3804593,8.5282205
Herbstweg,residential,47.4061273,8.5608499
Werdgartengasse,residential,47.371108,8.5263333
Bucheggstrasse,primary,47.398488,8.5381903
Bergwiesen,residential,47.3677147,8.4920504
Rosshalde,residential,47.3693307,8.488787
Läufebachweg,residential,47.3702452,8.4889478
Steinackerweg,residential,47.3720185,8.4866784
Rossackerstrasse,residential,47.3712536,8.4864188
Dianastrasse,residential,47.3689042,8.5334495
Sihlhölzlibrücke,primary,47.3688937,8.5282758
Bachmattweg,residential,47.3907992,8.4850191
Geibelstrasse,residential,47.395506,8.5274375
Rotbuchstrasse,tertiary,47.3913408,8.5368629
Limmatstrasse,tertiary,47.3859925,8.5297743
Röntgenstrasse,residential,47.383336,8.5277707
Werdstrasse,residential,47.3699228,8.5242104
Eichrainstrasse,residential,47.4292821,8.5458609
Glatttalstrasse,secondary,47.4272915,8.5462927
Birchstrasse,secondary,47.4276773,8.5467889
Glatttalstrasse,tertiary,47.4274364,8.5460706
Birchstrasse,secondary,47.4274318,8.5461449
Glatttalstrasse,tertiary,47.427601,8.5459436
Glatttalstrasse,secondary,47.4240563,8.5490918
Glatttalstrasse,tertiary,47.427443,8.5461902
Bleicherweg,residential,47.3662623,8.532724
Asternweg,residential,47.4045762,8.5448416
Malvenstrasse,residential,47.4049214,8.5442396
Berninaplatz,tertiary,47.4032141,8.5477503
Berninaplatz,tertiary,47.4033959,8.5481399
Milchbuckstrasse,residential,47.3950307,8.5406492
Herzogenmühlestrasse,residential,47.4048696,8.5727697
Schwamendingerplatz,residential,47.4041611,8.5724377
Herzogenmühlestrasse,residential,47.4042856,8.5723794
Saatlenstrasse,residential,47.4043082,8.5722141
Rotbuchstrasse,tertiary,47.3932791,8.5300912
Nordbrücke,tertiary,47.3934551,8.5295403
Rotbuchstrasse,tertiary,47.3932353,8.5303337
Allmendstrasse,primary,47.3461056,8.5198047
Allmendstrasse,primary,47.3503803,8.5249972
Bernerstrasse,primary,47.3968045,8.4782435
Hönggerstrasse,tertiary,47.392169,8.5245904
Max-Högger-Strasse,secondary,47.3936691,8.4904184
Bahnhaldenstrasse,residential,47.4191032,8.5441484
Hohlstrasse,primary,47.3830906,8.5142021
Hardbrücke,secondary,47.3828946,8.5148176
Manessestrasse,primary,47.3693692,8.5257662
Manessestrasse,primary,47.3680154,8.5238587
Aemmerliweg,residential,47.4140142,8.5722176
Aemmerliweg,residential,47.4143445,8.5726382
Am Glattbogen,residential,47.4120405,8.5644264
Amazonenstrasse,residential,47.4064708,8.5773161
Amazonenweg,residential,47.4063992,8.5771763
Wechselwiesenstrasse,residential,47.4069545,8.5777916
Auhofstrasse,residential,47.4064469,8.5690711
Aprikosenstrasse,residential,47.4061574,8.5702588
Central,tertiary,47.3767533,8.5442038
Central,tertiary,47.3768911,8.5433237
Beckenhofstrasse,residential,47.3832876,8.541791
Granitweg,residential,47.3858741,8.5427057
Caspar-Wüst-Strasse,residential,47.4308742,8.5424574
Rudolfstrasse,residential,47.3571251,8.5576286
Otto-Schütz-Weg,residential,47.4149372,8.5410671
Zweierstrasse,tertiary,47.3721812,8.5227965
Birmensdorferstrasse,tertiary,47.3710687,8.5236169
Kehlhofstrasse,tertiary,47.3688921,8.519425
Kehlhofstrasse,secondary,47.369514,8.5189318
Kehlhofstrasse,secondary,47.3699779,8.5186585
Birmensdorferstrasse,secondary_link,47.3677991,8.4949386
Birmensdorferstrasse,secondary,47.3682207,8.495883
Birmensdorferstrasse,secondary,47.3676854,8.4952701
Birmensdorferstrasse,secondary,47.3682426,8.4954364
Birmensdorferstrasse,secondary,47.367746,8.4956376
Kilchbergstrasse,residential,47.3383177,8.5356566
Feuerweg,residential,47.416673,8.5062035
Winterthurerstrasse,primary,47.3935178,8.5450541
Im Sankt Blasienhof,residential,47.4260088,8.5065672
Margrit-Rainer-Strasse,residential,47.4158728,8.5388106
Emil-Rütti-Weg,residential,47.415274,8.53795
Rossbergstrasse,residential,47.3529425,8.5274545
Muggenbühlstrasse,residential,47.3518129,8.527118
Bellariastrasse,residential,47.3485553,8.5294432
Meisenweg,residential,47.3417283,8.5279689
Balberstrasse,residential,47.3366901,8.5265448
Simmlersteig,residential,47.343951,8.5312189
Hesenlooweg,residential,47.3388597,8.5239921
Eggweg,residential,47.3407499,8.5320229
Badstrasse,residential,47.3518394,8.5595094
Horneggstrasse,residential,47.3523002,8.5589329
Nussgasse,residential,47.3526066,8.5588548
Nebelbachstrasse,residential,47.3529342,8.5583373
Säntisstrasse,residential,47.3545055,8.5566458
Korneliusstrasse,residential,47.3547528,8.5556083
Helenastrasse,residential,47.3552715,8.5559542
Gasstrasse,residential,47.3555812,8.5561776
Gasstrasse,residential,47.3552922,8.5555313
Baurstrasse,residential,47.3555169,8.5535959
Baurstrasse,residential,47.3559343,8.5547663
Feilengasse,residential,47.3567743,8.5556727
Tuggenerstrasse,residential,47.3579325,8.5551887
Inselhofstrasse,residential,47.3575242,8.5566217
Inselhofstrasse,residential,47.3576731,8.5573402
Inselhofstrasse,residential,47.3575222,8.5568281
Gletscherstrasse,residential,47.3568635,8.5575205
Leimgasse,residential,47.3565141,8.5571633
Mantelgasse,residential,47.3563404,8.5574685
Ceresstrasse,residential,47.3557191,8.5571104
Ceresstrasse,residential,47.3561749,8.5582261
Geranienstrasse,residential,47.3556252,8.558554
Paulstrasse,residential,47.3534952,8.5576705
Utoquai,primary,47.3668318,8.5444828
Bellerivestrasse,primary,47.3483913,8.5625257
Trichtenhausenstrasse,tertiary,47.3537214,8.6016464
Witikonerstrasse,secondary,47.358283,8.5860162
